Ref,Val,Package,PosX,PosY,Rot,Side
"BT1","Battery_Cell","battery_pads",107.175000,-69.400000,0.000000,top
"C1","100nF","C_0603_1608Metric",176.400000,-74.825000,180.000000,top
"C2","0.1uF","C_0603_1608Metric",175.275000,-65.825000,180.000000,top
"C3","0.1uF","C_0603_1608Metric",172.850000,-65.600000,-90.000000,top
"C4","1nF","C_0603_1608Metric",186.675000,-68.825000,-90.000000,top
"C5","10nF","C_0603_1608Metric",183.675000,-72.150000,90.000000,top
"C6","10nF","C_0603_1608Metric",181.450000,-74.825000,0.000000,top
"C7","100nF","C_0603_1608Metric",167.500000,-66.750000,90.000000,top
"C8","1uF","C_0603_1608Metric",128.175000,-68.000000,0.000000,top
"C9","0.1uF","C_0603_1608Metric",148.925000,-106.225000,-90.000000,top
"C10","10uF","C_0805_2012Metric",150.675000,-106.400000,-90.000000,top
"C11","0.1uF","C_0603_1608Metric",150.200000,-102.300000,0.000000,top
"C12","10uF","C_0805_2012Metric",130.212500,-79.000000,0.000000,top
"C13","10uF","C_0805_2012Metric",137.712500,-76.000000,180.000000,top
"C14","1uF","C_0603_1608Metric",129.900000,-61.500000,180.000000,top
"C15","0.1uF","C_0603_1608Metric",126.200000,-90.300000,180.000000,top
"C16","220nF","C_0603_1608Metric",176.400000,-76.500000,180.000000,top
"C17","220nF","C_0603_1608Metric",165.750000,-66.750000,90.000000,top
"D1","BAT54C","SOT-23",133.125000,-74.937500,-90.000000,top
"J1","USB_C_Receptacle_USB2.0_16P","USB_C_Receptacle_HCTL_HC-TYPE-C-16P-01A",149.925000,-62.820000,180.000000,top
"J3","MEM2075-00-140-01-A","GCT_MEM2075-00-140-01-A",197.617500,-96.375000,90.000000,top
"Q1","NX3008PBK,215","SOT-23-3",128.262500,-75.137500,-90.000000,top
"R1","5K1","R_0603_1608Metric",147.500000,-71.900000,-90.000000,top
"R2","5K1","R_0603_1608Metric",152.100000,-71.825000,-90.000000,top
"R3","10M","R_0603_1608Metric",173.175000,-74.825000,180.000000,top
"R4","10M","R_0603_1608Metric",170.675000,-73.650000,90.000000,top
"R5","1M","R_0603_1608Metric",170.675000,-70.150000,90.000000,top
"R6","10M","R_0603_1608Metric",173.675000,-69.325000,180.000000,top
"R7","10M","R_0603_1608Metric",171.175000,-65.600000,-90.000000,top
"R8","0","R_0603_1608Metric",179.175000,-62.825000,0.000000,top
"R9","DNP","R_0603_1608Metric",176.175000,-62.825000,180.000000,top
"R10","1M","R_0603_1608Metric",183.675000,-65.650000,-90.000000,top
"R11","100k","R_0603_1608Metric",183.675000,-68.825000,-90.000000,top
"R12","1M","R_0603_1608Metric",186.675000,-72.150000,-90.000000,top
"R13","1M","R_0603_1608Metric",189.675000,-72.150000,-90.000000,top
"R14","220k","R_0603_1608Metric",183.750000,-77.750000,90.000000,top
"R15","220k","R_0603_1608Metric",179.750000,-79.075000,90.000000,top
"R16","220k","R_0603_1608Metric",177.675000,-79.075000,90.000000,top
"R17","10M","R_0603_1608Metric",175.675000,-79.075000,90.000000,top
"R18","10M","R_0603_1608Metric",181.675000,-79.075000,90.000000,top
"R19","DNP","R_0603_1608Metric",166.000000,-70.150000,90.000000,top
"R20","0","R_0603_1608Metric",167.675000,-73.650000,90.000000,top
"R21","5K1","R_0603_1608Metric",131.675000,-68.000000,0.000000,top
"R22","10k","R_0603_1608Metric",150.225000,-103.900000,180.000000,top
"R23","470k","R_0603_1608Metric",168.325000,-69.325000,180.000000,top
"R24","2k","R_0603_1608Metric",136.712500,-71.575000,-90.000000,top
"R25","220k","R_0603_1608Metric",183.750000,-80.925000,90.000000,top
"R26","1M","R_0603_1608Metric",137.575000,-79.125000,-90.000000,top
"R27","200K","R_0603_1608Metric",139.075000,-79.125000,90.000000,top
"SW1","SW_SPDT","SW_SPDT_PCM12",109.400000,-60.830000,180.000000,top
"U1","ESP32-S3-WROOM-1","ESP32-S3-WROOM-1",138.175000,-101.500000,180.000000,top
"U2","TLV75801PDBV","SOT-23-5",134.712500,-79.000000,0.000000,top
"U3","AD8232","LFCSP_20",179.525000,-70.325000,90.000000,top
"U4","MCP73832-2-OT","SOT-23-5",129.900000,-65.000000,-90.000000,top
"U5","USBLC6-2P6","SOT-666",149.925000,-74.500000,180.000000,top
